MainMenu/&StartingLevelRange	{0}-{1}
Equipment/&Kickstarter_Item_Letter_Content	РОЗПОРЯДЖЕННЯ ПРО КОНФІСКАЦІЮ\nЯк покарання за повторне недотримання правил Залізної Легії, зокрема наказу V.I, його світлость Сейнніан Брайтспелл видав наступний наказ:\n1. Усі ваші відмінні предмети обладнання, пов'язані із Залізною Легією, конфісковано до подальшого повідомлення. Ваші обов'язки виконуватимуться зі стандартним піхотним обладнанням.\n2. Ваша зарплата від Залізної Легії на цей місяць анульована.\nКапітан Алсівейр Хайклауд
Equipment/&Kickstarter_Item_Letter_Description	Старий лист часів Імперії, запечатаний червоним воском.
Equipment/&kickstarter_item_Letter_Title	Лист
Equipment/&kickstarter_item_Notebook_Description	Нотатник, вкритий тонко виготовленою шкірою й, ймовірно, наділений захистною магією. Він містить рукописні нотатки громадянина давньої імперії Манакалон і може містити цінну інформацію про до-Катаклізмівську епоху.
Equipment/&kickstarter_item_Notebook_Title	Нотатник
Equipment/&kickstarter_item_Spider_Symbol_Content	Шак Агул Зог Хорнак Колзил
Equipment/&kickstarter_item_Spider_Symbol_Description	Невелика кістяна табличка з грубо намальованим символом павука. Ймовірно, виготовлена орками.
Equipment/&kickstarter_item_Spider_Symbol_Title	Оркська дошка
Equipment/&kickstarter_item_Testament_Content	Я, Бранділ Гострийлист, будучи в здорових розумі та тілі, заповідаю все своє майно леді Елірії Зеленоклинковій, якщо смерть знайде мене під час майбутніх битв проти людських загарбників. Моїй дружині та дітям, я…\n\nРешта листа відсутня.
Equipment/&kickstarter_item_Testament_Description	Старий, трохи зношений лист
Equipment/&kickstarter_item_Testament_Title	Заповіт
Equipment/&ContainerHarvestable_Angry_Bush_Title	Сердитий кущ
Equipment/&ContainerHarvestable_Angry_Bush_Description	Невеликий кущ, який можна знайти в Східних Королівствах та Пустошах і на якому ростуть Сердиті фіалки.
Equipment/&ContainerHarvestable_MagnesiumDeposit_Title	Родовище магнію
Equipment/&ContainerHarvestable_MagnesiumDeposit_Description	Природна купа порошкуватого магнію.
Equipment/&ContainerHarvestable_Mosspatch_Title	Пляма моху
Equipment/&ContainerHarvestable_Mosspatch_Description	Пляма густого моху, яка регулярно виробляє корисні інгредієнти.
Equipment/&ContainerHarvestable_GallivanThicket_Title	Гай Амаранта
Equipment/&ContainerHarvestable_GallivanThicket_Description	Невеликий гай, де росте улюблений Галівський амарант.
Equipment/&ContainerHarvestable_BloodBush_Title	Кров'яний кущ
Equipment/&ContainerHarvestable_BloodBush_Description	Невеликий кущ, на якому росте рідкісна кров'яна нарцис.
Equipment/&ContainerHarvestable_AcidPuddle_Title	Кислотна лужа
Equipment/&ContainerHarvestable_AcidPuddle_Description	Природне утворення кислоти.
Equipment/&ContainerHarvestable_TrollBramble_Title	Трольовий колючок
Equipment/&ContainerHarvestable_TrollBramble_Description	Огидний колючий кущ, схожий на волохату руку троля, який дає несподівано красивий Трольовий акант.
